"","age","job","marital","education","default","housing","loan","contact","month","day_of_week","campaign","pdays","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","subscribe","not_contacted"
"8469",63,"8","0",6,"0","0","0","0","7","3",1,999,0,"0",-3.4,92.431,-26.9,0.74,5017.5,"1",1
"13775",58,"3","0",6,"0","1","0","0","10","1",4,999,0,"0",-1.8,93.369,-34.8,0.635,5008.7,"0",1
"41",66,"8","0",1,"0","0","0","0","6","2",1,0,1,"1",-1.1,94.199,-37.5,0.881,4963.6,"0",0
"14426",50,"2","0",7,"1","1","0","1","2","3",2,999,0,"0",1.1,93.994,-36.4,4.859,5191,"0",1
"7391",30,"5","1",5,"0","1","0","1","0","0",3,999,0,"0",1.4,93.918,-42.7,4.958,5228.1,"0",1
"7284",36,"6","0",8,"0","0","0","0","2","3",2,999,0,"0",-1.8,92.893,-46.2,1.334,5099.1,"0",1
"15966",36,"5","1",4,"0","1","0","1","1","2",8,999,0,"0",1.4,93.5738277602099,-41.8,4.961,5228.1,"0",1
"11014",45,"9","2",8,"0","0","0","1","2","2",6,999,0,"0",1.1,93.994,-36.4,4.856,5191,"0",1
"18888",25,"6","1",1,"0","0","0","1","2","4",4,999,0,"0",1.1,93.994,-36.4,4.864,5191,"0",1
"6742",44,"5","1",6,"0","0","0","1","2","3",1,999,0,"0",1.1,93.994,-36.4,4.856,5191,"0",1
"11473",48,"3","0",6,"0","0","0","1","2","3",18,999,0,"0",1.1,93.994,-36.4,4.859,5191,"0",1
"8566",33,"3","1",6,"0","1","0","0","3","4",2,999,0,"0",-1.8,93.075,-47.1,1.405,5099.1,"0",1
"10034",34,"5","0",4,"1","0","0","1","1","1",1,999,0,"0",1.4,94.465,-41.8,4.961,5228.1,"0",1
"10274",35,"6","0",8,"0","1","0","0","5","1",1,999,0,"0",-0.1,93.2,-42,4.191,5195.8,"0",1
"12301",31,"3","1",6,"0","1","0","0","2","1",2,999,1,"1",-1.8,92.893,-46.2,1.299,5099.1,"0",1
"18501",49,"6","0",8,"0","0","0","1","1","3",2,999,0,"0",1.4,94.465,-41.8,4.864,5228.1,"0",1
"6134",29,"6","1",6,"0","0","0","1","1","3",1,999,0,"0",1.4,94.465,-41.8,4.864,5228.1,"0",1
"755",47,"5","3",3,"1","1","0","0","2","4",1,999,0,"0",-1.8,92.893,-46.2,1.313,5099.1,"0",1
"6553",38,"1","0",5,"0","0","0","1","1","4",1,999,0,"0",1.4,94.465,-41.8,4.967,5228.1,"0",1
"7127",34,"3","0",7,"0","1","0","0","4","2",2,999,0,"0",1.4,93.444,-36.1,4.966,5228.1,"0",1
"9640",32,"5","1",5,"0","1","1","0","2","3",1,999,0,"0",-1.8,92.893,-46.2,1.281,5099.1,"0",1
"19742",30,"2","1",5,"0","0","1","0","2","1",1,999,0,"0",-1.8,92.893,-46.2,1.299,5099.1,"0",1
"3980",40,"0","0",8,"0","1","0","1","2","3",2,999,0,"0",1.1,93.994,-36.4,4.856,5191,"0",1
"14457",48,"5","0",4,"0","1","0","1","2","0",4,999,0,"0",1.1,93.994,-36.4,4.86,5191,"0",1
"9326",29,"5","1",5,"1","1","0","0","0","2",5,999,0,"0",1.4,93.918,-42.7,4.961,5228.1,"0",1
"3230",37,"5","0",7,"0","1","2","0","2","5",1,999,1,"1",-1.8,92.893,-46.2,1.244,5099.1,"0",1
"5603",36,"1","1",3,"1","0","0","1","2","4",1,999,0,"0",1.1,93.994,-36.4,4.855,5191,"0",1
"9693",33,"6","0",8,"0","0","0","0","2","1",2,15,3,"1",-1.8,93.876,-40,0.685,5008.7,"0",0
"14403",36,"5","0",5,"0","0","0","0","4","1",2,999,1,"1",-2.9,92.201,-31.4,0.884,5076.2,"0",1
"10106",37,"7","1",8,"0","1","0","1","2","1",2,999,0,"0",1.1,93.994,-36.4,4.857,5191,"0",1
"5967",38,"5","0",5,"0","1","0","0","0","3",2,999,0,"0",1.4,93.918,-42.7,4.963,5228.1,"0",1
"9301",31,"6","0",6,"0","1","0","0","0","2",2,999,0,"0",1.4,93.918,-42.7,4.962,5228.1,"0",1
"12453",31,"2","0",7,"0","1","0","0","2","0",1,999,0,"0",-1.8,92.893,-46.2,1.327,5099.1,"0",1
"7816",42,"2","1",7,"0","1","0","0","2","3",2,999,0,"0",-1.8,92.893,-46.2,1.281,5099.1,"0",1
"11338",52,"5","1",5,"0","1","0","0","5","0",3,9,1,"2",-3.4,92.649,-30.1,0.714,5017.5,"0",0
"15538",25,"5","0",7,"1","0","0","1","2","4",2,999,0,"0",1.1,93.994,-36.4,4.855,5191,"0",1
"1386",30,"6","0",1,"0","1","1","1","1","1",1,999,0,"0",1.4,94.465,-41.8,4.961,5228.1,"0",1
"10476",65,"8","0",3,"0","1","1","0","7","1",1,3,1,"2",-1.1,94.601,-49.5,0.977,4963.6,"1",0
"18762",36,"3","0",6,"0","1","0","1","2","1",4,999,0,"0",1.1,93.994,-36.4,4.857,5191,"0",1
"686",34,"12","1",1,"1","1","0","0","0","0",2,999,0,"0",1.4,93.918,-42.7,4.962,5228.1,"0",1
"12049",39,"6","2",8,"0","0","1","0","9","1",3,999,0,"0",-1.7,94.215,-40.3,0.827,4991.6,"1",1
"15150",43,"6","1",8,"0","1","0","1","2","1",6,999,0,"0",-1.8,92.893,-46.2,1.354,5099.1,"0",1
"15670",48,"7","0",3,"0","0","1","1","1","1",1,999,0,"0",1.4,94.465,-41.8,4.865,5228.1,"0",1
"5027",39,"3","0",6,"0","0","0","1","2","3",2,999,0,"0",1.1,93.994,-36.4,4.857,5191,"0",1
"16104",47,"3","2",5,"1","0","0","0","0","1",1,999,0,"0",1.4,93.918,-42.7,4.96,5228.1,"0",1
"15214",44,"0","0",6,"1","0","0","1","0","1",1,999,0,"0",1.4,93.918,-42.7,4.962,5228.1,"0",1
"16152",43,"1","0",6,"1","1","0","0","0","1",5,999,0,"0",1.4,93.918,-42.7,4.96,5228.1,"0",1
"7281",35,"0","0",8,"0","0","0","0","4","0",18,999,0,"0",1.4,93.444,-36.1,4.962,5228.1,"0",1
"4715",27,"10","1",8,"0","1","0","0","0","0",1,999,0,"0",1.4,93.918,-42.7,4.958,5228.1,"0",1
"14215",39,"6","0",6,"0","0","0","0","2","2",2,999,0,"0",-1.8,92.893,-46.2,1.266,5099.1,"0",1
"14287",34,"6","2",6,"0","0","0","0","4","3",3,999,0,"0",1.4,93.444,-36.1,4.967,5228.1,"0",1
"151",29,"3","0",5,"0","1","0","0","0","4",2,999,0,"0",1.4,93.918,-42.7,4.963,5228.1,"0",1
"9830",40,"6","2",6,"0","0","0","0","0","3",3,999,0,"0",1.4,93.918,-42.7,4.963,5228.1,"0",1
"2208",36,"5","0",6,"1","0","0","1","1","4",5,999,0,"0",1.4,94.465,-41.8,4.959,5228.1,"0",1
"15751",37,"2","2",8,"0","0","0","0","0","0",1,999,0,"0",1.4,93.918,-42.7,4.963,5228.1,"0",1
"14491",29,"6","0",8,"0","0","0","0","2","3",2,999,0,"0",-1.8,92.893,-46.2,1.281,5099.1,"0",1
"17413",44,"2","2",5,"1","0","0","1","2","2",1,999,0,"0",1.1,93.994,-36.4,4.857,5191,"0",1
"8518",46,"6","2",8,"0","1","0","0","3","3",6,999,1,"1",-1.8,93.075,-47.1,1.415,5099.1,"0",1
"12048",39,"3","0",5,"0","0","1","0","0","1",2,999,0,"0",1.4,93.918,-42.7,4.96,5228.1,"0",1
"16160",49,"5","0",3,"0","1","1","1","1","2",3,999,0,"0",1.4,94.465,-41.8,4.864,5228.1,"0",1
"11029",50,"6","3",8,"0","1","0","0","8","2",3,999,0,"0",-3,92.713,-33,0.708,5023.5,"1",1
"7735",42,"6","0",8,"0","0","1","0","0","0",25,999,0,"0",1.4,93.918,-42.7,4.968,5228.1,"0",1
"1956",34,"2","1",7,"1","1","0","0","0","3",2,999,0,"0",1.4,93.918,-42.7,4.963,5228.1,"0",1
"5358",52,"2","0",7,"0","0","1","0","0","4",2,999,0,"0",1.4,93.918,-42.7,4.963,5228.1,"0",1
"13651",49,"0","1",8,"0","1","1","0","2","2",1,999,1,"1",-1.8,92.893,-46.2,1.266,5099.1,"0",1
"17369",85,"8","0",7,"0","0","0","0","4","2",1,999,0,"0",-2.9,92.201,-31.4,0.883,5076.2,"1",1
"6183",56,"9","0",3,"1","0","0","0","4","4",1,999,0,"0",1.4,93.444,-36.1,4.966,5228.1,"0",1
"17370",52,"6","0",8,"0","0","0","0","4","4",5,999,0,"0",1.4,93.444,-36.1,4.963,5228.1,"0",1
"4233",52,"6","0",8,"0","1","0","0","2","0",2,999,0,"0",-1.8,93.876,-40,0.677,5008.7,"0",1
"17968",42,"2","1",8,"0","0","0","0","2","1",4,999,0,"0",-1.8,92.893,-46.2,1.244,5099.1,"0",1
"7864",46,"5","0",4,"0","1","0","1","2","2",2,999,0,"0",1.1,93.994,-36.4,4.857,5191,"0",1
"10436",34,"2","0",7,"0","1","0","0","5","3",2,999,0,"0",-0.1,93.2,-42,4.12,5195.8,"0",1
"9985",30,"3","1",6,"1","0","0","0","7","1",1,999,0,"0",-3.4,92.431,-26.9,0.739,5017.5,"0",1
"4776",37,"11","0",5,"0","1","1","0","0","0",1,999,0,"0",1.4,93.918,-42.7,4.963,5228.1,"0",1
"15646",42,"2","0",7,"0","0","0","1","2","2",1,999,0,"0",1.1,93.994,-36.4,4.857,5191,"1",1
"6644",69,"8","2",7,"0","0","0","0","1","4",6,12,2,"1",-1.7,94.055,-39.8,0.748,4991.6,"1",0
"985",49,"5","0",5,"1","0","0","1","1","0",1,999,0,"0",1.4,94.465,-41.8,4.961,5228.1,"0",1
"18891",30,"5","1",5,"1","1","1","1","2","1",1,999,0,"0",1.1,93.994,-36.4,4.857,5191,"0",1
"11184",31,"5","0",5,"0","0","0","0","2","2",3,999,0,"0",-1.8,92.893,-46.2,1.291,5099.1,"0",1
"11284",42,"6","1",6,"0","0","1","0","0","4",1,999,0,"0",1.4,93.918,-42.7,4.962,5228.1,"0",1
"16579",40,"5","2",5,"1","1","1","1","2","2",1,999,0,"0",1.1,93.994,-36.4,4.856,5191,"0",1
"14173",51,"3","0",6,"0","1","0","0","5","1",1,999,1,"1",-1.1,94.767,-50.8,1.05,4963.6,"0",1
"11428",55,"2","0",7,"1","0","0","1","2","3",2,999,0,"0",1.1,93.994,-36.4,4.857,5191,"0",1
"3124",33,"5","1",5,"0","0","0","1","0","2",2,999,0,"0",1.4,93.918,-42.7,4.962,5228.1,"0",1
"13164",52,"5","2",5,"0","1","0","0","0","3",1,999,0,"0",1.4,93.918,-42.7,4.962,5228.1,"0",1
"18516",44,"6","0",4,"0","1","0","0","2","1",1,999,0,"0",-1.8,92.893,-46.2,1.244,5099.1,"0",1
"14969",46,"9","2",7,"1","0","0","0","0","2",2,999,0,"0",1.4,93.918,-42.7,4.961,5228.1,"0",1
"12215",44,"0","0",8,"1","0","1","1","2","4",8,999,0,"0",1.1,93.994,-36.4,4.857,5191,"0",1
"3464",51,"3","2",6,"1","1","0","0","2","0",1,999,1,"1",-1.8,92.893,-46.2,1.327,5099.1,"0",1
"3949",46,"3","2",6,"0","0","0","0","3","1",2,999,1,"1",-1.8,93.075,-47.1,1.466,5099.1,"0",1
"12994",33,"2","1",6,"0","1","0","0","4","1",1,999,0,"0",1.4,93.444,-36.1,4.965,5228.1,"0",1
"7757",26,"2","0",8,"0","0","0","1","0","0",7,999,0,"0",1.4,93.918,-42.7,4.963,5228.1,"0",1
"2758",27,"2","1",7,"0","1","0","0","2","0",1,999,0,"0",-1.8,92.893,-46.2,1.266,5099.1,"0",1
"3833",49,"7","0",3,"1","0","0","1","1","0",1,999,0,"0",1.4,94.465,-41.8,4.866,5228.1,"0",1
"17096",47,"3","0",6,"1","1","1","1","1","3",1,999,0,"0",1.4,94.465,-41.8,4.962,5228.1,"0",1
"12960",41,"6","0",8,"0","1","0","0","4","0",10,999,0,"0",1.4,93.444,-36.1,4.962,5228.1,"0",1
"10020",35,"5","2",5,"0","1","0","0","5","2",1,999,0,"0",-0.1,93.2,-42,4.153,5195.8,"0",1
"3069",32,"5","0",5,"1","2","2","1","2","3",2,999,0,"0",1.1,93.994,-36.4,4.857,5167,"0",1
"10638",41,"5","0",4,"0","1","0","1","1","2",2,999,0,"0",1.4,94.465,-41.8,4.864,5228.1,"1",1
"11253",35,"6","0",6,"0","1","0","0","2","3",2,999,1,"1",-1.8,92.893,-46.2,1.281,5099.1,"0",1
"8720",30,"3","0",7,"0","1","0","0","5","3",2,999,0,"0",-0.1,93.2,-42,4.12,5195.8,"1",1
"14717",38,"1","0",3,"1","1","0","0","0","2",20,999,0,"0",1.4,93.918,-42.7,4.961,5228.1,"0",1
"14858",41,"6","0",8,"0","1","0","0","4","0",1,999,0,"0",1.4,93.444,-36.1,4.964,5228.1,"0",1
"16857",37,"2","1",6,"0","1","1","1","1","4",1,999,0,"0",1.4,94.465,-41.8,4.967,5228.1,"0",1
"14536",35,"5","0",4,"0","1","0","1","2","4",2,999,0,"0",1.1,93.994,-36.4,4.864,5191,"0",1
"6098",33,"5","0",5,"1","1","0","1","2","1",3,999,0,"0",1.1,93.994,-36.4,4.857,5191,"0",1
"17533",27,"3","1",6,"1","1","0","0","2","3",2,999,1,"1",-1.8,92.893,-46.2,1.334,5099.1,"0",1
"2037",42,"6","2",6,"0","1","0","1","2","3",5,999,1,"1",-1.8,92.893,-46.2,1.281,5099.1,"0",1
"18697",46,"6","2",8,"0","1","0","1","0","1",4,999,0,"0",1.4,93.918,-42.7,4.962,5228.1,"0",1
"11015",36,"5","0",5,"0","0","1","0","0","4",3,999,0,"0",1.4,93.918,-42.7,4.957,5228.1,"0",1
"11416",43,"6","0",7,"1","1","0","0","0","0",2,999,0,"0",1.4,93.918,-42.7,4.968,5228.1,"0",1
"1078",36,"2","0",7,"0","0","0","0","0","2",3,999,0,"0",1.4,93.918,-42.7,4.961,5228.1,"0",1
"5015",33,"5","1",5,"0","1","0","0","5","0",1,999,0,"0",-0.1,93.2,-42,4.076,5195.8,"0",1
"1313",50,"5","0",3,"0","1","0","0","4","1",1,999,0,"0",1.4,93.444,-36.1,4.965,5228.1,"0",1
"185",42,"5","0",3,"1","0","0","0","2","4",1,999,0,"0",-1.8,92.893,-46.2,1.313,5099.1,"0",1
"413",48,"5","0",4,"0","1","0","0","4","0",1,999,0,"0",1.4,93.444,-36.1,4.963,5228.1,"0",1
"4723",58,"9","3",7,"0","1","0","0","4","2",10,999,0,"0",1.4,93.444,-36.1,4.965,5228.1,"0",1
"10762",39,"0","0",6,"0","2","1","0","0","0",2,999,0,"0",1.4,93.918,-42.7,4.968,5228.1,"0",1
"17717",39,"5","0",5,"0","1","1","1","0","4",5,999,0,"0",1.4,93.918,-42.7,4.957,5228.1,"0",1
"15414",43,"5","2",5,"1","0","1","1","1","4",2,999,0,"0",1.4,94.465,-41.8,4.967,5228.1,"0",1
"4875",42,"9","2",1,"0","1","0","1","3","1",1,999,1,"1",-1.8,93.749,-34.6,0.642,5008.7,"0",1
"9753",39,"3","0",6,"0","1","0","0","5","0",2,999,0,"0",-0.1,93.2,-42,4.076,5195.8,"0",1
"16948",50,"5","0",6,"1","0","0","1","2","1",1,999,0,"0",1.1,93.994,-36.4,4.857,5191,"0",1
"8986",40,"6","0",6,"0","0","0","1","2","4",3,999,0,"0",1.1,93.994,-36.4,4.855,5191,"0",1
"14745",27,"3","0",5,"0","1","0","1","2","4",2,999,0,"0",1.1,93.994,-36.4,4.855,5191,"0",1
"3799",57,"5","0",3,"1","0","1","0","4","3",1,999,0,"0",1.4,93.444,-36.1,4.964,5228.1,"0",1
"4256",56,"5","0",3,"1","1","0","0","8","2",3,6,1,"2",-3,92.713,-33,0.715,5023.5,"1",0
"14804",44,"5","0",4,"0","0","1","0","2","0",2,999,0,"0",-1.8,92.893,-46.2,1.327,5099.1,"0",1
"3581",42,"2","0",8,"0","0","0","1","1","4",20,999,0,"0",1.4,94.465,-41.8,4.959,5228.1,"0",1
"11160",33,"11","1",8,"0","0","0","1","2","4",1,999,0,"0",1.1,93.994,-36.4,4.857,5191,"0",1
"19513",46,"5","0",1,"1","0","0","1","2","1",2,999,0,"0",1.1,93.994,-36.4,4.857,5191,"0",1
"6601",36,"3","0",6,"1","0","0","1","1","2",2,999,0,"0",1.4,94.465,-41.8,4.961,5228.1,"0",1
"4713",31,"5","0",5,"1","1","0","1","0","2",2,999,0,"0",1.4,93.918,-42.7,4.961,5228.1,"0",1
"16663",38,"6","2",6,"0","1","0","0","5","4",1,999,0,"0",-0.1,93.2,-42,4.021,5195.8,"0",1
"6790",47,"6","1",8,"0","1","0","0","1","1",4,999,0,"0",-2.9,92.963,-40.8,1.281,5076.2,"1",1
"6491",29,"6","0",4,"0","0","0","0","2","4",3,999,0,"0",-1.8,92.893,-46.2,1.25,5099.1,"0",1
"19585",49,"2","0",7,"1","0","0","0","0","4",6,999,0,"0",1.4,93.918,-42.7,4.962,5228.1,"0",1
"18650",47,"3","0",5,"0","2","2","0","4","0",2,999,0,"0",1.4,93.444,-36.1,4.963,5228.1,"0",1
"618",60,"3","0",3,"0","1","0","1","4","3",7,999,0,"0",1.4,93.444,-36.1,4.965,5228.1,"0",1
"18289",47,"6","2",8,"0","0","1","0","5","2",2,999,0,"0",-0.1,93.2,-42,4.153,5195.8,"0",1
"15034",50,"6","0",6,"0","0","0","0","4","2",1,999,0,"0",1.4,93.444,-36.1,4.965,5228.1,"0",1
"8529",20,"10","1",6,"0","1","0","0","2","3",1,999,0,"0",-1.8,92.893,-46.2,1.27,5099.1,"0",1
"10266",49,"6","2",5,"0","1","0","2","0","3",1,999,0,"0",1.4,93.918,-42.7,4.963,5228.1,"0",1
"539",23,"2","1",7,"0","0","1","0","3","2",4,999,0,"0",-1.8,93.075,-47.1,1.423,5099.1,"0",1
"13978",56,"4","0",3,"0","1","0","0","4","1",1,999,0,"0",1.4,93.444,-36.1,4.965,5228.1,"0",1
"3625",57,"3","0",6,"1","0","1","1","1","0",1,999,0,"0",1.4,94.465,-41.8,4.866,5228.1,"0",1
"15582",60,"8","0",6,"0","1","0","1","1","3",3,999,0,"0",1.4,94.465,-41.8,4.962,5228.1,"0",1
"19392",48,"2","0",6,"1","0","0","0","0","2",3,999,0,"0",1.4,93.918,-42.7,4.962,5228.1,"0",1
"9637",37,"5","0",4,"0","0","0","0","7","0",1,999,0,"0",-3.4,92.431,-26.9,3,5017.5,"0",1
"13369",54,"3","0",6,"1","0","1","0","0","0",1,999,0,"0",1.4,93.918,-42.7,4.962,5228.1,"0",1
"6804",39,"2","0",7,"0","0","0","0","0","2",1,999,0,"0",1.4,93.5738277602099,-42.7,4.961,5228.1,"0",1
"2211",61,"5","0",3,"0","0","0","0","2","3",1,999,0,"0",-1.8,92.893,-46.2,1.27,5099.1,"0",1
"2286",35,"6","0",8,"0","1","0","1","0","4",1,999,2,"1",-1.7,94.215,-40.3,0.896,4991.6,"1",1
"7684",34,"2","0",8,"0","0","0","1","1","4",12,999,0,"0",1.4,94.465,-41.8,4.967,5228.1,"0",1
"19921",34,"0","0",8,"0","1","0","1","2","0",1,999,0,"0",1.1,93.994,-36.4,4.86,5191,"0",1
"15585",49,"5","0",3,"0","1","0","1","4","0",1,999,0,"0",1.4,93.444,-36.1,4.964,5167,"0",1
"12936",36,"6","0",8,"0","1","0","0","2","3",2,999,0,"0",-1.8,92.893,-46.2,1.334,5099.1,"0",1
"9271",27,"6","1",6,"0","0","0","0","0","2",1,999,0,"0",1.4,93.918,-42.7,4.962,5228.1,"0",1
"9433",73,"8","0",3,"0","1","0","0","4","4",1,999,0,"0",-2.9,92.201,-31.4,0.881,5076.2,"0",1
"7826",30,"11","1",6,"0","0","0","1","7","0",1,999,0,"0",-3.4,92.431,-26.9,0.74,5017.5,"0",1
"1706",33,"0","0",6,"0","0","1","0","5","3",1,999,0,"0",-0.1,93.2,-42,4.12,5195.8,"0",1
"14751",45,"11","0",3,"0","0","0","0","4","0",1,999,0,"0",1.4,93.444,-36.1,4.968,5228.1,"0",1
"15024",42,"0","0",4,"1","1","0","1","2","2",5,999,0,"0",1.1,93.994,-36.4,4.857,5191,"0",1
"8081",55,"2","0",7,"0","0","1","0","4","0",1,999,0,"0",1.4,93.444,-36.1,3,5228.1,"0",1
"8949",53,"6","1",8,"0","1","0","0","1","4",2,3,1,"2",-2.9,92.963,-40.8,1.268,5076.2,"1",0
"988",56,"9","2",6,"0","0","0","1","2","4",2,999,0,"0",1.1,93.994,-36.4,4.855,5191,"0",1
"10687",33,"3","1",6,"0","1","0","0","2","3",1,999,1,"1",-1.8,92.893,-46.2,1.281,5099.1,"0",1
"19969",30,"0","0",8,"0","1","0","1","2","4",18,999,0,"0",1.1,93.994,-36.4,4.857,5191,"0",1
"11061",41,"2","0",7,"0","1","0","0","5","4",5,5,1,"2",-0.1,93.2,-42,4.021,5195.8,"0",0
"9426",31,"6","1",8,"0","1","0","0","5","0",1,999,0,"0",-0.1,93.2,-42,4.076,5195.8,"0",1
"12637",41,"7","2",6,"1","1","0","0","0","1",5,999,0,"0",1.4,93.918,-42.7,4.96,5228.1,"0",1
"18609",53,"11","0",8,"0","1","0","0","5","4",1,999,0,"0",-0.1,93.2,-42,4.021,5195.8,"0",1
"12674",46,"5","0",3,"0","0","0","0","2","1",3,999,0,"0",-1.8,92.893,-46.2,1.299,5099.1,"0",1
"1165",40,"0","0",8,"0","0","0","1","1","0",1,999,0,"0",1.4,94.465,-41.8,4.961,5228.1,"0",1
"2213",32,"2","1",8,"0","1","1","1","0","3",43,999,0,"0",1.4,93.918,-42.7,4.962,5228.1,"0",1
"17996",29,"2","1",5,"0","1","0","0","5","3",1,999,0,"0",-0.1,93.2,-42,4.12,5195.8,"0",1
"13689",55,"6","1",8,"0","1","0","1","2","3",3,999,0,"0",1.1,93.994,-36.4,4.858,5191,"0",1
"5565",22,"5","1",4,"1","0","0","1","2","4",2,999,0,"0",1.1,93.994,-36.4,4.864,5191,"0",1
"17094",48,"5","0",5,"0","0","0","1","1","4",3,999,0,"0",1.4,94.465,-41.8,4.959,5228.1,"0",1
"17642",45,"3","0",6,"0","0","0","1","2","4",1,999,0,"0",1.1,93.994,-36.4,4.855,5191,"0",1
"2470",48,"0","0",8,"0","1","0","1","2","4",23,999,0,"0",1.1,93.994,-36.4,4.859,5191,"0",1
"12144",31,"2","0",7,"0","0","0","1","4","2",2,999,0,"0",1.4,93.444,-36.1,4.963,5228.1,"0",1
